FECHA,TMAX,TMIN,NOMBRE
15112019,30.6,10.8,MALARGUE AERO
15112019,22.5,9.5,MAQUINCHAO
15112019,29.0,6.1,MAR DEL PLATA AERO
15112019,33.6,14.0,MARCOS JUAREZ AERO
15112019,30.0,13.0,MARIANO MORENO AERO
15112019,36.3,20.8,MENDOZA AERO
15112019,,18.6,MENDOZA OBSERVATORIO
15112019,29.8,16.0,MERCEDES AERO (CTES)
15112019,30.3,16.2,MERLO AERO
15112019,,17.0,METAN
15112019,30.0,15.3,MONTE CASEROS AERO
15112019,30.1,18.2,MORON AERO
15112019,32.4,17.2,NEUQUEN AERO
15112019,33.6,14.8,NUEVE DE JULIO
15112019,29.0,19.5,OBERA
15112019,31.5,11.5,OLAVARRIA AERO
15112019,37.0,20.0,ORAN AERO
15112019,30.8,17.2,PARANA AERO
15112019,23.0,13.2,PASO DE INDIOS
15112019,28.5,17.3,PASO DE LOS LIBRES AERO
15112019,34.0,13.2,PEHUAJO AERO
15112019,17.5,10.6,PERITO MORENO AERO
15112019,33.5,16.1,PIGUE AERO
15112019,32.1,16.6,PILAR OBSERVATORIO
15112019,30.5,21.5,POSADAS AERO
15112019,32.4,18.7,PRESIDENCIA ROQUE SAENZ PEÑA AERO
15112019,24.0,10.2,PUERTO DESEADO AERO
15112019,27.8,11.0,PUERTO MADRYN AERO
15112019,,10.5,PUNTA INDIO B.A.
15112019,31.7,17.7,RAFAELA AERO
15112019,30.4,18.5,RECONQUISTA AERO
15112019,31.2,18.3,RESISTENCIA AERO
15112019,36.4,16.4,RIO COLORADO
15112019,34.0,17.7,RIO CUARTO AERO
15112019,18.8,7.8,RIO GALLEGOS AERO
15112019,14.3,5.8,RIO GRANDE B.A.
15112019,38.0,20.3,RIVADAVIA
15112019,31.8,14.5,ROSARIO AERO
15112019,29.6,15.0,SALTA AERO
15112019,34.5,14.8,SAN ANTONIO OESTE AERO
15112019,34.0,12.5,SAN CARLOS (MZA)
15112019,30.3,16.4,SAN FERNANDO AERO
15112019,37.6,19.0,SAN JUAN AERO
15112019,23.6,9.9,SAN JULIAN AERO
15112019,35.4,20.4,SAN LUIS AERO
15112019,36.5,18.7,SAN MARTIN (MZA)
15112019,36.3,15.6,SAN RAFAEL AERO
15112019,21.4,8.3,SANTA CRUZ AERO
15112019,38.0,14.2,SANTA ROSA AERO
15112019,34.2,18.4,SANTA ROSA DE CONLARA AERO
15112019,36.5,21.5,SANTIAGO DEL ESTERO AERO
15112019,31.8,18.5,SAUCE VIEJO AERO
15112019,32.5,17.0,SUNCHALES AERO
15112019,29.5,7.0,TANDIL AERO
15112019,35.0,22.0,TARTAGAL AERO
15112019,36.2,24.0,TERMAS DE RIO HONDO AERO
15112019,37.5,17.5,TINOGASTA
15112019,27.6,10.8,TRELEW AERO
15112019,34.5,15.0,TRENQUE LAUQUEN
15112019,,9.9,TRES ARROYOS
15112019,36.6,18.0,TUCUMAN AERO
15112019,13.0,7.3,USHUAIA AERO
15112019,31.5,8.7,USPALLATA
15112019,33.5,13.0,VENADO TUERTO AERO
15112019,36.0,12.3,VICTORICA
15112019,32.8,12.8,VIEDMA AERO
15112019,35.6,14.7,VILLA DE MARIA DEL RIO SECO
15112019,34.9,20.8,VILLA DOLORES AERO
15112019,28.0,6.8,VILLA GESELL AERO
15112019,36.6,14.0,VILLA REYNOLDS AERO
14112019,30.2,20.3,AEROPARQUE AERO
14112019,28.5,13.4,AZUL AERO
14112019,27.1,13.0,BAHIA BLANCA AERO
14112019,18.8,2.5,BARILOCHE AERO
14112019,-2.2,-10.0,BASE BELGRANO II
14112019,0.4,-1.5,BASE CARLINI (EX JUBANY)
14112019,7.6,0.0,BASE ESPERANZA
14112019,1.6,-2.8,BASE MARAMBIO
14112019,3.4,-0.9,BASE ORCADAS
14112019,-1.7,-8.0,BASE SAN MARTIN
14112019,26.7,11.3,BENITO JUAREZ AERO
14112019,22.0,18.4,BERNARDO DE IRIGOYEN AERO
14112019,30.5,14.9,BOLIVAR AERO
14112019,30.0,19.4,BUENOS AIRES OBSERVATORIO
14112019,29.1,16.3,CAMPO DE MAYO AERO
14112019,37.2,21.8,CATAMARCA AERO
14112019,31.2,20.8,CERES AERO
14112019,33.7,19.9,CHAMICAL AERO
14112019,21.8,8.0,CHAPELCO AERO
14112019,34.5,19.0,CHEPES
14112019,35.0,17.0,CHILECITO AERO
14112019,30.3,15.7,CIPOLLETTI
14112019,27.9,13.4,COMODORO RIVADAVIA AERO
14112019,32.3,17.6,CONCORDIA AERO
14112019,28.8,17.1,CORDOBA AERO
14112019,30.4,18.5,CORDOBA OBSERVATORIO
14112019,28.5,10.6,CORONEL PRINGLES AERO
14112019,30.0,12.7,CORONEL SUAREZ AERO
14112019,31.2,20.4,CORRIENTES AERO
14112019,27.2,12.1,DOLORES AERO
14112019,20.1,4.5,EL BOLSON AERO
14112019,20.5,4.5,EL CALAFATE AERO
14112019,29.5,15.2,EL PALOMAR AERO
14112019,31.0,17.7,EL TREBOL
14112019,27.8,16.5,ESCUELA DE AVIACION MILITAR AERO
14112019,18.9,4.0,ESQUEL AERO
14112019,29.0,15.2,EZEIZA AERO
14112019,31.0,20.4,FORMOSA AERO
14112019,33.0,12.5,GENERAL PICO AERO
14112019,24.0,12.5,GOBERNADOR GREGORES AERO
14112019,30.4,17.6,GUALEGUAYCHU AERO
14112019,27.2,20.5,IGUAZU AERO
14112019,31.0,21.6,ITUZAINGO
14112019,32.5,14.9,JACHAL
14112019,34.7,16.3,JUJUY AERO
14112019,32.3,15.5,JUJUY U N
14112019,30.0,16.0,JUNIN AERO
14112019,27.5,14.2,LA PLATA AERO
14112019,16.5,8.4,LA QUIACA OBSERVATORIO
14112019,38.5,19.5,LA RIOJA AERO
14112019,34.0,18.2,LABOULAYE AERO
14112019,29.0,15.5,LAS FLORES
14112019,32.4,19.2,LAS LOMITAS
14112019,26.4,12.0,MALARGUE AERO
14112019,23.0,3.5,MAQUINCHAO
14112019,22.3,12.9,MAR DEL PLATA AERO
14112019,31.4,18.2,MARCOS JUAREZ AERO
14112019,29.1,16.7,MARIANO MORENO AERO
14112019,30.5,20.2,MENDOZA AERO
14112019,,19.0,MENDOZA OBSERVATORIO
14112019,32.2,18.0,MERCEDES AERO (CTES)
14112019,29.0,16.5,MERLO AERO
14112019,,16.0,METAN
14112019,32.0,18.7,MONTE CASEROS AERO
14112019,29.1,18.2,MORON AERO
14112019,28.9,14.0,NEUQUEN AERO
